Resource,Endpoint,API Fields,Local Models,Local Fields,Status,Notes
events,/fixtures/events?fixture={fixtureId},"time.elapsed, time.extra, type, detail, team.name, player.name, assist.name",GameEvent,"minute, extraMinute, type, notesEn, notesHe, icon, team, teamId, playerId, relatedPlayerId, gameId",stored,Assist names are linked through relatedPlayerId. Event rows are fully rebuilt per fixture refresh.
statistics,/fixtures/statistics?fixture={fixtureId},"Ball Possession, Shots on Goal, Total Shots, Corner Kicks, Fouls, Offsides, Yellow Cards, Red Cards",GameStatistics,"home/away possession, shotsOnTarget, shotsTotal, corners, fouls, offsides, yellowCards, redCards",stored,"Core stats remain mapped to columns, and the full payload is now preserved in JSON."
statistics,/fixtures/statistics?fixture={fixtureId},"other stat types such as shots off goal, blocked shots, goalkeeper saves, passes, pass accuracy, xG if present",GameStatistics,additionalInfo,stored,Variable statistic types are now available locally in JSON even when not exposed as dedicated columns.
lineups,/fixtures/lineups?fixture={fixtureId},"startXI[].player.*, substitutes[].player.*, formation, coach.name, coach.id",GameLineupEntry,"apiFootballId, role, participantType, participantName, formation, positionName, positionGrid, jerseyNumber, gameId, teamId, playerId",stored,"Both starters and substitutes are kept, plus a coach row per team."
lineups,/fixtures/lineups?fixture={fixtureId},"coach.id, coach.name, fixtureDate",TeamCoachAssignment,"apiFootballCoachId, coachNameEn, coachNameHe, startDate, endDate, teamId, seasonId",stored,Coach assignments are derived from lineup snapshots over time.
topScorers,/players/topscorers?league={leagueId}&season={seasonYear},"player.id, player.name, statistics[0].team, statistics[0].goals.total, statistics[0].games.appearences",CompetitionLeaderboardEntry,"category, rank, value, gamesPlayed, teamId, playerId, apiFootballPlayerId, playerNameEn, playerNameHe, teamNameEn, teamNameHe",stored,Only the leaderboard value and appearance count are stored.
topScorers,/players/topscorers?league={leagueId}&season={seasonYear},extra scoring detail fields from statistics block,CompetitionLeaderboardEntry,additionalInfo,stored,Extra leaderboard detail now stays available locally in JSON.
topAssists,/players/topassists?league={leagueId}&season={seasonYear},"player.id, player.name, statistics[0].team, statistics[0].goals.assists, statistics[0].games.appearences",CompetitionLeaderboardEntry,"category, rank, value, gamesPlayed, teamId, playerId, apiFootballPlayerId, playerNameEn, playerNameHe, teamNameEn, teamNameHe",stored,"Same shape as top scorers, but value holds assists."
injuries,/injuries?league={leagueId}&season={seasonYear}[&team={teamId}],"fixture.id, fixture.date, team.id, team.name, player.id, player.name, player.type, player.reason",PlayerInjury,"apiFootballPlayerId, apiFootballTeamId, apiFootballFixtureId, playerNameEn, playerNameHe, teamNameEn, teamNameHe, typeEn, typeHe, reasonEn, reasonHe, fixtureDate, seasonId, competitionId, teamId, playerId, gameId",stored,Injury rows are deleted and rebuilt for the selected scope.
transfers,/transfers?team={teamId},"player.id, player.name, transfers[].date, transfers[].type, transfers[].teams.out.*, transfers[].teams.in.*, update",PlayerTransfer,"apiFootballPlayerId, playerNameEn, playerNameHe, transferDate, transferTypeEn, transferTypeHe, sourceTeamApiFootballId, sourceTeamNameEn, sourceTeamNameHe, sourceTeamLogoUrl, destinationTeamApiFootballId, destinationTeamNameEn, destinationTeamNameHe, destinationTeamLogoUrl, sourceUpdatedAt, seasonId, playerId",stored,Only transfers whose date overlaps the selected season are kept.
trophies,/trophies?player={playerId},"league, country, season, place",PlayerTrophy,"apiFootballPlayerId, playerNameEn, playerNameHe, leagueNameEn, leagueNameHe, countryEn, countryHe, seasonLabel, placeEn, placeHe, seasonId, playerId",stored,Only trophies matching the selected season label are saved.
sidelined,/sidelined?player={playerId},"type, start, end",PlayerSidelinedEntry,"apiFootballPlayerId, playerNameEn, playerNameHe, typeEn, typeHe, startDate, endDate, seasonId, playerId",stored,Entries are filtered to season overlap and deduplicated per player/type/startDate.
predictions,/predictions?fixture={fixtureId},"predictions.winner, predictions.advice, predictions.win_or_draw, predictions.under_over, predictions.goals, predictions.percent, comparison",GamePrediction,"winnerTeamApiFootballId, winnerTeamNameEn, winnerTeamNameHe, winnerCommentEn, winnerCommentHe, adviceEn, adviceHe, winOrDraw, underOver, goalsHome, goalsAway, percentHome, percentDraw, percentAway, comparisonJson, rawJson",stored,Prediction summary is stored plus rawJson for future expansion.
predictions,/predictions?fixture={fixtureId},same payload snapshot over time,GamePredictionSnapshot,same core fields as GamePrediction plus snapshotAt,stored,Historical prediction snapshots are also kept.
h2h,/fixtures/headtohead?h2h={homeId}-{awayId}&last=5,"fixture.id, league.id, league.name, league.round, fixture.date, teams.home.*, teams.away.*, goals.*, winner",GameHeadToHeadEntry,"apiFootballFixtureId, relatedCompetitionApiId, relatedCompetitionNameEn, relatedCompetitionNameHe, relatedRoundEn, relatedRoundHe, relatedDate, homeTeamApiFootballId, homeTeamNameEn, homeTeamNameHe, awayTeamApiFootballId, awayTeamNameEn, awayTeamNameHe, homeScore, awayScore, winnerTeamApiFootballId, rawJson",stored,"This resource already keeps rawJson, so expansion here is low risk."
odds,/odds?fixture={fixtureId},"bookmakers[].id, bookmakers[].name, bets[].id, bets[].name, values[].value, values[].odd, update","GameOddsValue, GameOddsSnapshot","bookmakerApiId, bookmakerName, marketApiId, marketName, selectionValue, odd, oddsUpdatedAt, bookmakerId, betId, gameId, seasonId, competitionId",stored,Odds are normalized into current values plus historical snapshots.
odds,/odds?fixture={fixtureId},bookmaker catalog,OddsBookmaker,"apiFootballId, name",stored,Bookmakers are normalized for reuse.
odds,/odds?fixture={fixtureId},bet market catalog,OddsBet,"apiFootballId, nameEn, nameHe",stored,Bet markets are normalized for reuse.
livescore,/fixtures?live=all,"fixture.id, league.*, fixture.status.*, fixture.date, teams.*, goals.*, events count",LiveGameSnapshot,"apiFootballFixtureId, feedScope, leagueApiFootballId, leagueNameEn, leagueNameHe, roundEn, roundHe, statusShort, statusLong, elapsed, extra, snapshotAt, fixtureDate, homeTeamApiFootballId, homeTeamNameEn, homeTeamNameHe, awayTeamApiFootballId, awayTeamNameEn, awayTeamNameHe, homeScore, awayScore, eventCount, rawJson, gameId, seasonId, competitionId",stored,Local live feed stores both summary fields and rawJson.
globalLivescore,/fixtures?live=all,same live fixture payload used for homepage feed,LiveGameSnapshot,same fields as livescore with feedScope=GLOBAL_HOMEPAGE,stored,Global homepage live feed shares the same model.
derived,local derivation from standings + events + lineups + statistics + fixtures,not a direct API resource,PlayerStatistics,"goals, assists, yellowCards, redCards, gamesPlayed, minutesPlayed, starts, substituteAppearances, timesSubbedOff",derived,"Player seasonal statistics are computed locally, not taken directly from the player API payload."
derived,local derivation from standings + events + lineups + statistics + fixtures,not a direct API resource,TeamStatistics,"matchesPlayed, totalGoals, totalAssists, goalsConceded, cleanSheets, yellowCards, redCards, shotsOnTarget, shotsTotal, corners, fouls, offsides, averagePossession, wins, draws, losses, points",derived,Team seasonal statistics are also derived locally.
